"","pathway.number","pathway","measure.general","measure.general.count.across.papers"
"90",3,"PP abundance","abundance",22
"95",3,"PP morbidity","PP phenotype",1
"96",3,"PP morbidity","vigor",1
"98",3,"PP to host infection prevalence / intensity","biomass density",1
"99",3,"PP to host infection prevalence / intensity","disease score",1
"101",3,"PP to host infection prevalence / intensity","host infection prevalence",1
"102",3,"PP to host infection prevalence / intensity","host mortality",1
"103",3,"PP to host infection prevalence / intensity","host resistance",1
"104",3,"PP to host infection prevalence / intensity","infection duration",1
"107",3,"PP to host infection prevalence / intensity","infection prevalence / intensity",1
"108",3,"PP to host infection prevalence / intensity","infection prevalence and intensity",1
"109",3,"PP to host infection prevalence / intensity","percent parasite",1
"110",3,"PP to host infection prevalence / intensity","PP transmission vector",1
"111",3,"PP to host infection prevalence / intensity","time to infection",1
"97",3,"PP to host infection prevalence / intensity","abundance",2
"100",3,"PP to host infection prevalence / intensity","host infection intensity",3
"105",3,"PP to host infection prevalence / intensity","infection intensity",17
"106",3,"PP to host infection prevalence / intensity","infection prevalence",42
"112",3,"PP to unknown","biogeochemical cycles",1
"113",3,"PP to unknown","host abundance or behavior",1
"114",3,"PP to unknown","host abundance, community composition, or phenotype",1
"115",3,"PP to unknown","host and community biomass",1
"116",3,"PP to unknown","host behavior or abundance",1
"117",3,"PP to unknown","host or community phenotype or biomass/abund",1
"119",3,"PP to unknown","host phenotype or biomass",1
"120",3,"PP to unknown","PP or host or community abundance/biomass or phenotype",1
"118",3,"PP to unknown","host phenotype",2
"121",3,"PP to unknown ","host abundance, community composition, or phenotype",1
"123",3,"unknown to ecosystem fxn","primary production",1
"124",3,"unknown to ecosystem fxn","secondary production",1
"122",3,"unknown to ecosystem fxn","biogeochemical cycles",15
"125",3,"var1_abund biomass to ecosystem fxn","host phenotype",1
